,level_0,index,Student_ID,Gender,Country_HDI,Country_HDI.fin,Certif.bin,age,iteration_quest,Exam.score,Exam.bin,Assignment.score,Assignment.bin,Quizz.1.score,Quizz.1.bin,Quizz.2.score,Quizz.2.bin,Quizz.3.score,Quizz.3.bin,Quizz.4.bin,Quizz.4.score,Quizz.5.bin,Quizz.5.score,Intro.MOOC,Prez.sem.1,S1.L1,S1.L2,S1.L3,S1.L4,S1.L5,S1.L6,Prez.sem.2,S2.L1,S2.L2,S2.L3,S2.L4,S2.L5,S2.L6,Prez.sem.3,S3.L1.1,S3.L1.2,S3.L2,S3.L3,S3.L4,S3.L5,Prez.sem.4,S4.L1.1,S4.L1.2,S4.L2,S4.L3,S4.L4,S4.L5,Prez.sem.5,S5.L1.1,S5.L1.2,S5.L2,S5.L3,S5.L4,S5.L5,Post.forum.0,view.forum.0,Post.forum.1,Post.forum.1.2,view.forum.1,view.forum.1.2,Post.forum.2,Post.forum.2.2,view.forum.2,view.forum.2.2,Post.forum.3,view.forum.3,Post.forum.4,Post.forum.4.2,view.forum.4,view.forum.4.2,Post.forum.5,Post.forum.5.2,view.forum.5,view.forum.5.2,last.video,last.quizz,view.forum.fonc.cours,Post.forum.fonc.cours,Assignment.choice,iteration_effec,Nb_Quizz_Realises,Nb_Videos_Visionnees,HDI,status
13,13,13.0,2630.0,,,,,,1,,0,,0,,0,,0,,0,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,,,,1,0,1,,disengaging_learner
14,14,14.0,5952.0,un homme,B,B,,,1,,0,57.0,1,16.0,1,20.0,1,14.67,1,1,20.0,1,20.0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,22,5,,,,1,5,0,B,
15,15,15.0,18426.0,une femme,TH,TH,,,1,,0,82.0,1,18.0,1,20.0,1,18.0,1,1,19.33,1,20.0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,0,1,0,0,1,1,0,0,1,1,35,5,,,,1,5,30,TH,
16,16,16.0,16245.0,un homme,B,B,,,1,,0,,0,20.0,1,20.0,1,20.0,1,1,20.0,1,20.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,,,,1,5,0,B,disengaging_learner
17,17,17.0,11862.0,,,,,,1,,0,,0,,0,,0,,0,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,0,0,,
18,18,18.0,12068.0,une femme,H,H&M,,,1,,0,,0,18.0,1,14.0,1,13.33,1,1,10.0,1,20.0,,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,35,5,,,,1,5,5,I,disengaging_learner
19,19,19.0,11106.0,une femme,TH,TH,,,1,,0,,0,16.0,1,18.0,1,11.33,1,1,14.0,1,17.0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,35,5,,,,1,5,25,TH,disengaging_learner
20,20,20.0,11209.0,un homme,H,H&M,,,1,,0,,0,11.0,1,18.0,1,17.33,1,1,18.0,1,14.0,,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,35,5,,,,1,5,25,I,disengaging_learner
21,21,21.0,19368.0,,,,,,1,,0,,0,,0,,0,,0,0,,0,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,,,1,0,1,,disengaging_learner
22,22,22.0,18385.0,,M,H&M,,,1,,0,,0,,0,,0,,0,0,,0,,,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,,,,1,0,6,I,disengaging_learner
23,23,23.0,169.0,,,,,,1,,0,,0,,0,,0,,0,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,0,0,,
24,24,24.0,19112.0,,,,,,1,,0,,0,,0,,0,,0,0,,0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,,,1,0,1,,disengaging_learner
25,25,25.0,17651.0,,,,,,1,,0,,0,6.0,1,,0,,0,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,1,1,0,,disengaging_learner
26,26,26.0,17597.0,un homme,B,B,,,1,,0,,0,15.0,1,,0,,0,0,,0,,,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,,,,1,1,1,B,disengaging_learner
27,27,27.0,19537.0,un homme,TH,TH,,,1,,0,,0,10.0,1,20.0,1,11.33,1,1,15.0,1,11.0,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,22,5,,,,1,5,11,TH,disengaging_learner
28,28,28.0,7189.0,un homme,TH,TH,,,1,,0,,0,,0,,0,,0,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,0,0,TH,
29,29,29.0,13182.0,un homme,H,H&M,,,1,,0,79.0,1,17.0,1,20.0,1,20.0,1,1,19.33,1,20.0,,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,0,1,0,1,0,35,5,,,,1,5,30,I,
